normalized_name,display_name_variants,variant_count,occurrence_count,recipe_count,dominant_kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,nutrition_source,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,primary_ingredient_hits,quantity_examples,category_examples,recipe_examples,note_examples
per gli stampini,Per Gli Stampini: (9),1,9,9,section-label,section-label,,,,,,,,0,,Antipasto | Dessert | Pesce,Biscottini Di Mandorle E Albumi | Bocconotti Calabresi | Ciambelline Alla Frutta | Crema Cotta Ai Pistacchi | Dolcetti Al Cioccolato,Luogo: Calabria. Preparazione: 90 minuti. | Preparazione: 90 minuti. | Preparazione: 60 minuti.
per il contorno,Per Il Contorno: (9),1,9,9,section-label,section-label,,,,,,,,0,,Carne | Pesce | Pollame,Entrecote Con Fagottini Di Verdura Gratinati | Fegato D'anatra Con Asparagi In Insalata | Fegato Di Tacchino Con Patate E Porri | Fegato Grosso Con Scalogno | Lombo Di Cervo Con Mostarda,Preparazione: 30 minuti. Cottura: 60 minuti. Calorie: 624.
per la base,Per La Base: (9),1,9,9,section-label,section-label,,,,,,,,0,,Dessert | Primo,Cheese Cake (5) | Cheese Cake Alle Fragole | Cheese Cake Di Mascarpone E Uva Spina | Meringa Al Cocco | Millestrati Al Cioccolato,Preparazione: 90 minuti.
per la crema pasticciera,Per La Crema Pasticciera: (9),1,9,9,section-label,section-label,,,,,,,,0,,Dessert,Ceppo Di Natale | Crema Pasticciera Al Cacao | Crostata Con Crema E Fichi | Pan Di Spagna Con Crema Pasticciera E More | Scazzette Di Cardinale,Luogo: Regno Unito. Luogo: Inghilterra.
per la pirofila,Per La Pirofila: (9),1,9,9,section-label,section-label,,,,,,,,0,,Antipasto | Contorno | Dessert | Pesce,Cardi In Teglia | Dolcetti Glassati Al Pollo | Gratin Di Patate E Cipolle (2) | Lavarelli Al Forno | Medaglioni Di Prosciutto Cézanne,Preparazione e cottura: 60 minuti. | Luogo: Austria. | Preparazione: 75 minuti. Calorie: 119.
pere grandi,Pere Grandi (9),1,9,9,ingredient,unmatched,,,,,,,,0,4 (8) | 6 (1),Dessert,Pere Al Cioccolato (2) | Pere Al Cioccolato (7) | Pere Al Pepe Nero | Pere Alla Crema | Pere Alla Panna,
piselli lessati,Piselli Lessati (9),1,9,9,ingredient,unmatched,,,,,,,,0,50 G (4) | 200 G (3) | 4 Cucchiai (1) | 1 Cucchiaio (1),Carne | Pesce | Pollame | Primo | Salsa,"Cartoccio Di Pennette, Pollo E Fontina | Insalata Di Riso (6) | Involtini Di Cotenna In Umido | Ossibuchi Di Tacchino Con Piselli | Pasta Alla Pisellona",
pollo a pezzi,Pollo A Pezzi (9),1,9,9,ingredient,unmatched,,,,,,,,0,1 (5) | 2000 G (2) | 800 G (2),Pollame,Kip En Bier (2) | Pollo Ai Funghi Con Pomodoro | Pollo Alla Cacciatora (5) | Pollo Alla Toscana | Pollo Alle Olive,Luogo: Belgio. | Luogo: Toscana. | Luogo: Olanda.
polpa di granchio in scatola,Polpa Di Granchio In Scatola (9),1,9,9,ingredient,unmatched,,,,,,,,0,300 G (4) | 250 G (2) | 180 G (1) | 280 G (1) | 85 G (1),Antipasto | Pesce | Primo,Crema Di Zucchine (4) | Melone Farcito Alla Polpa Di Granchio | Pasta Al Granchio | Penne Al Granchio | Pomodorini Ripieni Di Granchio,
polpa di melone,Polpa Di Melone (9),1,9,9,ingredient,unmatched,,,,,,,,3,300 G (3) | 400 G (1) | 200 G (1) | 600 G (1) | 1 Cubetto (1),Bevande | Dessert,Coppe Alla Ricotta | Frullato Di Melone E Fragole | Gelato Al Melone | Guarano | Marmellata Di Melone,Preparazione: 20 minuti. Calorie: 34.
polvere di cacao,Polvere Di Cacao (9),1,9,9,ingredient,unmatched,,,,,,,,0,1 Pizzico (2) | 1 Cucchiaino (1),Bevande | Dessert,Adri | Amaretti Aromatici | B. B. Bar | Biancomangiare Con Castagne | Cioccolato,
pomodorini maturi,Pomodorini Maturi (9),1,9,9,ingredient,unmatched,,,,,,,,0,2 (3) | 10 (1) | Alcuni (1) | 6 (1) | 500 G (1),Antipasto | Primo | Salsa,Bavette Con Le Sarde | Farfalle Impazzite | Fettuccine Fantasia | Focaccia Ai Pomodori | Guacamole (3),Preparazione: 60 minuti. Riposo: 40 minuti. | Luogo: Messico. Luogo: Stati Uniti. Luogo: Nuovo Messico. | Luogo: Stati Uniti. Luogo: Nuovo Messico.
porri grandi,Porri Grandi (9),1,9,9,ingredient,unmatched,,,,,,,,0,4 (3) | 6 (2) | 2 (2) | 3 (1) | 1000 G (1),Contorno | Primo | Salsa,Cotolette Di Porri | Insalata Di Porri (4) | Minestra Di Riso Patate E Porri | Minestra Di Riso Patate E Porri (2) | Porri A Mazzetti,Preparazione: 30 minuti. Cottura: 20 minuti.
prosciutto cotto magro,Prosciutto Cotto Magro (9),1,9,9,ingredient,unmatched,,,,,,,,0,100 G (4) | 4 Fette (2) | 500 G (1) | 8 Fette (1) | 3 Fette (1),Antipasto | Carne | Pollame,Canapè Di Prosciutto | Crepes Tartufate | Cupolette Di Prosciutto | Hamburger Alle Erbe (2) | Piatto Freddo Al Bacaco,Luogo: Stati Uniti. | Luogo: Francia. Luogo: Provenza.
ricotta dura,Ricotta Dura (9),1,9,9,ingredient,unmatched,,,,,,,,1,100 G (3) | 60 G (2) | 50 G (1) | 30 G (1) | 80 G (1),Primo,Crudaiola | Orecchiette Con Pomodoro E Ricotta | Orecchiette Selvatiche | Pasta Alla Rucola | Pasta E Formaggi,Luogo: Emilia-Romagna. | Luogo: Sicilia.
rognone di vitello,Rognone Di Vitello (9),1,9,9,ingredient,unmatched,,,,,,,,0,1 (5) | 500 G (3) | 100 G (1),Antipasto | Carne,Arrosto Di Vitello Con Rognone | Finanziera (2) | Polpette Di Rognone | Rognone Al Cognac | Rognone Al Prezzemolo,Luogo: Piemonte. Luogo: Alba. Preparazione: 30 minuti. Cottura: 90 minuti. | Luogo: Lazio.
rum bacardi bianco,Rum Bacardi Bianco (9),1,9,9,ingredient,unmatched,,,,,,,,2,3/10 (4) | 6/10 (2) | 1/4 (1) | 2/10 (1) | 4/10 (1),Bevande,Bacardi Cocktail (6) | Bacardi Cocktail (7) | Byblos | Giacky | Martinelli,
russchian schweppes,Russchian Schweppes (9),1,9,9,ingredient,unmatched,,,,,,,,0,5/10 (2) | 4/6 (1) | 1/3 Bottiglietta (1) | 1/2 Bottiglietta (1) | 3/5 (1),Bevande,Anuska | Anuska (2) | Arlis | Bessy (2) | Betty Riva,
scamone di manzo,Scamone Di Manzo (9),1,9,9,ingredient,unmatched,,,,,,,,0,700 G (2) | 800 G (2) | 4 Fette (1) | 600 G (1) | 400 G (1),Carne,Arrosto Di Manzo Al Salmoriglio | Bistecche Alle Olive | Brasato Al Marsala | Brasato Alle Verdure | Manzo Al Limone,Preparazione: 60 minuti.
sciroppo di lamponi,Sciroppo Di Lamponi (9),1,9,9,ingredient,unmatched,,,,,,,,0,150 G (1) | Alcune Gocce (1) | 4 Bicchierini (1) | 2 Cucchiai (1) | 1/2 Bicchiere (1),Bevande | Dessert,Bavarese Ai Lamponi | Cervinia Cordial Eggnog | Coppe Gelate Al Ribes | Coppe Melba | Coppe Soleil,Preparazione: 50 minuti. | Preparazione: 15 minuti.
scorzonera,Scorzonera (9),1,9,9,ingredient,unmatched,,,,,,,,5,700 G (2) | 1 Mazzo (1) | 300 G (1) | 200 G (1) | 350 G (1),Antipasto | Contorno | Pesce | Pollame | Primo,Capesante In Salsa Piccante Con Scorzonera | Cappon Magro | Cappon Magro (2) | Faraona Con Scorzonera | Risotto Con Scorzonera,Preparazione: 130 minuti. | Luogo: Liguria.
seltz freddo,Seltz Freddo (9),1,9,9,ingredient,unmatched,,,,,,,,0,1 Spruzzo (3) | Abbondante (1),Bevande,Adriatico | Alternativa | Dubonnet Cooler | Honolulu Cooler | Ombra,
semola di grano duro,Semola Di Grano Duro (9),1,9,9,ingredient,unmatched,,,,,,,,0,100 G (3) | 250 G (2) | 150 G (1) | 800 G (1) | 200 G (1),Antipasto | Dessert | Primo,Carta Da Musica | Cavatelli Con I Funghi | Couscous | Crostata Alla Crema Di Tofu | Flan Allo Champagne,Luogo: Trapani. Luogo: Sicilia. | Preparazione: 75 minuti.
sloe gin,Sloe-gin (9),1,9,9,ingredient,unmatched,,,,,,,,6,3/4 (3) | 2/3 (3) | 1/2 (1) | 2/5 (1) | 2/4 (1),Bevande,Brina | Cardinal Fizz | Collins (2) | Doberman | Oceano,
sogliola,Sogliola (9),1,9,9,ingredient,unmatched,,,,,,,,6,1 (4) | 8 Filetti (2) | 500 G (1) | 100 G (1),Antipasto | Pesce | Primo,"Filetti Di Sogliola Lessati | Involtini Di Sogliole (2) | Involtini Di Sogliole Con Gamberi | Nastrini Di Sogliola Con Spinaci, Carote E Pecorino | Polpettine Di Pesce",
spezie miste,Spezie Miste (9),1,9,9,ingredient,unmatched,,,,,,,,0,1 Pizzico (3) | 1 Cucchiaino (2) | 1 Presa (1) | 2 1/2 G (1) | 1 Cucchiaio (1),Antipasto | Carne | Dessert | Primo | Salsa,Aspic Di Prosciutto | Clootie Dumpling | Panforte (antica Ricetta) | Risotto Con Le Trote | Salmì Di Camoscio,Luogo: Regno Unito. Luogo: Scozia.
succo di ciliegie,Succo Di Ciliegie (9),1,9,9,ingredient,unmatched,,,,,,,,4,1/2 (2) | 1 Bicchiere (2) | 1/4 Bicchiere (2) | Alcuni Cucchiai (1) | 2/5 (1),Bevande | Dessert,Succo A Un Solo Gusto (15) | Succo A Un Solo Gusto (16) | Succo A Un Solo Gusto (3) | Succo Di Avocado E Papaia Con Succo Di Ciliegie | Succo Di Avocado E Papaia Con Succo Di Ciliegie (2),
succo di fichi,Succo Di Fichi (9),1,9,9,ingredient,unmatched,,,,,,,,2,1/4 Bicchiere (4) | 1/2 Bicchiere (2) | 1/5 (1) | 1/4 (1) | 2/6 (1),Bevande,"Spremuta Di Pompelmo E Fichi | Succo D'albicocca Con Succo Di Fichi, Di Mela E Di Ribes | Succo D'arancia Con Succo D'uva Chiara E Di Fichi | Succo D'uva Scura E Mirtilli Con Succo Di Fichi E Di Mela | Succo Di Fichi Con Succo Di Mela, D'ananas E D'arancia",
succo di litchi,Succo Di Litchi (9),1,9,9,ingredient,unmatched,,,,,,,,1,1/4 Bicchiere (8) | 1/4 (1),Bevande,"Succo D'albicocca Con Succo Di Banana E Litchi | Succo D'ananas Con Succo Di Litchi, Kumquat E Banana | Succo D'uva Bianca Con Succo Di Pera E Di Litchi | Succo Di Banana Con Succo Di Fragole E Litchi | Succo Di Ciliegia Con Succo Di Pompelmo E Litchi",
tamari,Tamari (9),1,9,9,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (2) | 1 Cucchiaino (1) | Alcune Gocce (1) | 5 Cucchiai (1) | 3 Cucchiai (1),Contorno | Primo,Cipolle Ripiene Di Riso (2) | Crema Di Cetrioli | Insalata Di Barbabietole (2) | Miglio Con Verdure (2) | Minestra D'orzo (4),
tartufi neri,Tartufi Neri (9),1,9,9,ingredient,unmatched,,,,,,,,6,2 (3) | 250 G (1) | 200 G (1) | 100 G (1) | Alcuni (1),Antipasto | Contorno | Pollame | Primo | Salsa,Bruschetta Con Tartufi Neri | Cappone Tartufato | Crostini Ai Tartufi Neri | Frittata Ai Tartufi | Salsa Al Tartufo Nero,Preparazione: 10 minuti. Cottura: 5 minuti.
tortillas,Tortillas (9),1,9,9,ingredient,unmatched,,,,,,,,0,18 (3) | 12 (2) | 6 (1),Antipasto | Carne | Contorno | Pesce,Albòndigas En Chipotle | Dentice Alla Veracruzana | Enchiladas Poblanas | Enchiladas Verdes | Enchiladas Yucatecas,Luogo: Messico. | Luogo: Messico. Luogo: Stati Uniti.
vermouth bianco cinzano,Vermouth Bianco Cinzano (9),1,9,9,ingredient,unmatched,,,,,,,,0,2/10 (6) | 3/10 (2) | 4/10 (1),Bevande,Anika | Bob Dylan | Byron (2) | Cotton Club | La Bouche,
vermouth bianco dolce,Vermouth Bianco Dolce (9),1,9,9,ingredient,unmatched,,,,,,,,0,1/3 (3) | 1/6 (2) | 1/2 (2) | 1/4 (1) | 1/10 (1),Bevande,Bronx (2) | Delmonico | Harvard | Manhattan (2) | Martini Sweet,
vermouth bianco martini,Vermouth Bianco Martini (9),1,9,9,ingredient,unmatched,,,,,,,,1,2/10 (3) | 2/6 (1) | 1/4 (1) | 3/8 (1) | 1/3 (1),Bevande,Angel Eyes | Martinelli | San Simone | Snow Board | Soffice,
vol au vent,Vol-au-vent (9),1,9,9,ingredient,unmatched,,,,,,,,0,8 (6) | 6 (2) | 12 (1),Antipasto | Carne,Animelle Alle Verdure | Vol-au-vent Agli Scampi | Vol-au-vent Ai Funghi | Vol-au-vent Ai Piselli | Vol-au-vent Al Pollo,Luogo: Val D'Aosta.
yogurth bianco intero,Yogurth Bianco Intero (9),1,9,9,ingredient,unmatched,,,,,,,,4,1 Vasetto (4) | 2 Cucchiai (2) | 15 Cl (2) | 50 G (1),Antipasto | Dessert,Dolce Di Prugne (2) | Grapefruit Avocado Soup | Mousse Di Mele | Vinarterta | Zuppa Di Avocado E Pompelmo,Ricetta adatta a: Bambini piccoli. | Ricetta adatta a: bambini piccoli.
acciughe diliscate,Acciughe Diliscate (8),1,8,8,ingredient,unmatched,,,,,,,,0,2 (5) | 3 (2) | 4 (1),Antipasto | Contorno | Pesce | Primo | Salsa,Burro All'acciuga | Calamari Ripieni (9) | Funghi Porcini Al Forno | Melanzane Farcite Alla Mozzarella | Pancarré Con Il Burro All'acciuga,
aceto di vino forte,Aceto Di Vino Forte (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (2) | 2 Bicchieri (1) | 1/2 Bicchiere (1) | 1 Bicchiere (1),Antipasto | Carne | Pesce | Salsa,Agoni In Carpione (2) | Alici Sperone | Cinghiale Alla Maniera Calabrese | Marmotta Al Lavècc | Pedi D'agnoni,Luogo: Calabria. | Luogo: Abruzzo.
aghi di rosmarino,Aghi Di Rosmarino (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (4) | Alcuni (1) | 2 Cucchiai (1) | 11 (1),Bevande | Carne | Pesce | Pollame | Primo,Amaro Alle Erbe | Arista Piccante | Pasta Ai Capperi | Salsa Per Grigliate | Sarago Aromatico,
aneto fresco,Aneto Fresco (8),1,8,8,ingredient,unmatched,,,,,,,,0,10 Rametti (2) | 2 Mazzetti (1) | 2 Rametti (1) | 1 Rametto (1) | 2 Cucchiai (1),Contorno | Pesce | Pollame | Primo,Gamberi All'aneto | Insalata Di Barbabietole E Aringhe | Paté Di Funghi E Noci | Petto Di Pollo Ai Mirtilli | Salmone Al Profumo Di Aneto,Luogo: Svezia. | Luogo: Lituania. | Luogo: Egitto.
baccala bagnato,Baccalà Bagnato (8),1,8,8,ingredient,unmatched,,,,,,,,0,800 G (3) | 700 G (2) | 400 G (1) | 200 G (1) | 300 G (1),Pesce | Primo,Baccalà Al Latte | Baccalà Alla Genovese | Baccalà Alla Viscaina | Baccalà Con I Peperoni (2) | Baccalà Fritto In Pastella,Luogo: Liguria. Luogo: Genova. | Preparazione: 15 minuti. Cottura: 20 minuti.
baccala gia ammollato,Baccalà Già Ammollato (8),1,8,8,ingredient,unmatched,,,,,,,,0,800 G (6) | 1000 G (1) | 600 G (1),Pesce,Baccalà Al Latte Con Verdure | Baccalà Con Patate | Baccalà Con Patate E Pinoli | Baccalà Con Polenta | Baccalà Con Uvetta Sultanina,Luogo: Campania. | Luogo: Veneto. Preparazione: 60 minuti. Calorie: 288.
baccala spugnato,Baccalà Spugnato (8),1,8,8,ingredient,unmatched,,,,,,,,1,300 G (5) | 200 G (2) | 1 Trancio (1),Antipasto | Pesce,Baccalà Al Pomodoro Con Capperi E Olive | Baccalà Alla Birra Con Platano Grigliato E Friggitelli Alla Menta | Baccalà Confit | Baccalà Marinato Al Peperoncino | Baccalà Tre,
banana matura,Banana Matura (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 (7) | 1/8 (1),Bevande | Dessert,Banana Cow | Banana Daiquiri | Banana Royale | Banane Nella Cenere | Frullato Di Nina,Luogo: Melanesia. Luogo: Vanuatu.
beccacce,Beccacce (8),1,8,8,ingredient,unmatched,,,,,,,,8,2 (8),Pollame,Beccacce Al Curry | Beccacce Al Ginepro | Beccacce Al Madera | Beccacce Al Tartufo | Beccacce Arrostite Alla Salvia,Preparazione: 90 minuti.
besciamella densa,Besciamella Densa (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 Tazza (2) | 1 1/2 Tazze (1) | 1/4 (1) | 150 G (1) | 2 Cucchiai (1),Antipasto | Carne | Contorno | Pesce,Crocchette Al Formaggio | Fiammiferi Al Formaggio | Involtini Di Prosciutto (7) | Melanzane Fate Presto | Moussaka,
blanc battu cagliata di formaggio fresco magro,Blanc Battu (cagliata Di Formaggio Fresco Magro) (8),1,8,8,ingredient,unmatched,,,,,,,,0,50 G (2) | 100 G (2) | 1 Cucchiaio (1) | 3 Cucchiai (1) | 40 G (1),Contorno | Dessert | Salsa,Condimento Alla Francese Per Insalata | Condimento Alla Francese Per Insalata (2) | Insalata Di Patate Con Peperoni | Salsa Di Aglio E Yogurth | Salsa Di Paprica E Ricotta,Luogo: Francia. | Calorie: 100. | Calorie: 240.
bosford gin,Bosford Gin (8),1,8,8,ingredient,unmatched,,,,,,,,1,4/10 (3) | 3/10 (2) | 1/3 (1) | 6/20 (1) | 2/4 (1),Bevande,Cernobyl | Charlton | Cheerokey | Il Mio Amore È Vicino | Lady & Lady,
brodo caldo,Brodo Caldo (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 Mestolo (2) | 75 Cl (1) | 2 Mestoli (1) | 50 Cl (1),Antipasto | Carne | Contorno | Primo | Salsa,Arrosto Al Limone | Crema Andalusa | Funghi Con La Zucca | Maccheroni Gustosi (2) | Pearà Alla Veronese,Luogo: Veneto. Luogo: Verona. | Preparazione: 70 minuti.
brodo di dadi,Brodo Di Dadi (8),1,8,8,ingredient,unmatched,,,,,,,,0,25 Cl (3) | 100 Cl (1) | 50 Cl (1) | 1/2 Bicchiere (1),Antipasto | Pesce,Aragosta Alla Tour Eiffel | Calamaretti All'amalfitana | Crocchette Renzo E Lucia | Croste Alla Ghiottona | Crostini Alla Cecco Beppe,Luogo: Campania. Luogo: Amalfi.
burro fresco,Burro Fresco (8),1,8,8,ingredient,unmatched,,,,,,,,0,100 G (1) | 4 Cucchiaini (1) | 150 G (1) | 1 Pezzetto (1) | 70 G (1),Carne | Dessert | Pollame | Primo,Arrosto Di Tacchino Ripieno In Crosta | Banane Al Forno (4) | Biscottini Semplici | Costolette Di Capriolo Allo Stelvio | Risotto Al Prosciutto (2),Luogo: Emilia-Romagna.
caffe bollente,Caffè Bollente (8),1,8,8,ingredient,unmatched,,,,,,,,0,2 Tazze (1) | 4 Tazzine (1),Bevande,Caffè All'arancia | Caffè Alla Giavanese | Caffè Aromatico | Caffè Del Cardinale | Caffè Irlandese,Luogo: Olanda. | Luogo: Irlanda.
caffe espresso,Caffè Espresso (8),1,8,8,ingredient,unmatched,,,,,,,,1,1 Tazzina (2) | 2 Tazzine (1) | 4 Tazze Grandi (1) | 60 Cl (1) | 1 (1),Bevande | Dessert,Cappuccino | Cappuccino Marina | Dolci Alle Noci E Al Caffè | Gelato Moka (2) | Granita Al Caffè,Luogo: Irlanda. | Luogo: Ciociaria. Luogo: Lazio.
caffe lavazza top class,Caffè Lavazza Top Class (8),1,8,8,ingredient,unmatched,,,,,,,,0,3/10 (2) | 2/10 (2) | 5/10 (1) | 1 (1) | 4/10 (1),Bevande,Black Music | Black Woman | Gipsy Queen | Macumba | Mi Sveglio,
capretto,Capretto (8),1,8,8,ingredient,unmatched,,,,,,,,8,1500 G (3) | 1 (2) | 1700 G (1) | 1000 G (1),Carne,Arrosto Delicato | Capretto Al Forno | Capretto Alle Cipolle | Capretto Alle Olive | Capretto Brodettato,Luogo: Venezuela.
carciofi teneri,Carciofi Teneri (8),1,8,8,ingredient,unmatched,,,,,,,,0,6 (5) | 8 (1) | 2 (1) | 10 (1),Antipasto | Carne | Contorno | Primo,Bracioline Di Vitello Con Carciofi | Carciofi Alla Romana (5) | Carciofi Fritti (2) | Crepes Con Ripieno Di Carciofi | Frittata Con Le Erbe,Luogo: Lazio. Luogo: Roma. | Preparazione: 30 minuti. Cottura: 20 minuti. | Preparazione: 30 minuti. Cottura: 20 minuti. Calorie: 186.
carne di vitello in fettine,Carne Di Vitello In Fettine (8),1,8,8,ingredient,unmatched,,,,,,,,0,500 G (6) | 400 G (1) | 450 G (1),Carne,Fettine Di Vitello All'aceto | Fettine Di Vitello All'uovo E Limone | Fettine Di Vitello In Salsa D'olive | Fettuccine Di Carne Di Vitello | Involtini Di Vitello Alle Verdure,Luogo: Lazio. Luogo: Roma.
carote tritate,Carote Tritate (8),1,8,8,ingredient,unmatched,,,,,,,,0,200 G (3) | 3 (1) | 100 G (1) | 175 G (1) | 150 G (1),Carne | Dessert | Pesce | Primo | Salsa,Brasato Di Manzo | Crema Di Gamberi Ungherese | Ketchup (2) | Minestra Di Patate | Salsa Ketchup (2),Luogo: Ungheria. | Luogo: Slovacchia.
cedrata,Cedrata (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (7) | 3 Cucchiai (1),Bevande | Dessert,Adriana | Anua | Anua Daisy | Barbara Bouchet | Blond Cooler,
cervello di vitello,Cervello Di Vitello (8),1,8,8,ingredient,unmatched,,,,,,,,1,1 (2) | 100 G (1) | 300 G (1) | 250 G (1) | 260 G (1),Antipasto | Carne | Contorno | Primo,Agnolotti Alla Piemontese | Antipasto Di Cervello | Cannelloni Della Casalinga | Cannelloni Farciti | Cervello Al Burro Nero,Luogo: Piemonte. | Luogo: Lazio.
cetrioli sott aceto,Cetrioli Sott'aceto (8),1,8,8,ingredient,unmatched,,,,,,,,0,2 (3) | 3 (2) | 4 (1) | 50 G (1),Antipasto | Carne | Contorno | Pollame | Salsa,Arrosto Saporito | Aspic | Insalata Di Carne (2) | Insalata Di Peperoni E Carne Di Cervo | Insalata Di Pollo (5),Luogo: Toscana.
cetriolo piccolo,Cetriolo Piccolo (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 (8),Antipasto | Contorno | Primo | Salsa,Minestra Fredda Di Pomodoro | Minestra Fredda Di Pomodoro (2) | Minestra Fredda Di Pomodoro E Cipolla | Mousse Salmone E Cetriolo | Passato Freddo Di Pomodori,Cottura: 150 minuti. | Cottura: 15 minuti.
cherry,Cherry (8),1,8,8,ingredient,unmatched,,,,,,,,0,2/6 (2) | 1/8 (1) | 1/10 (1) | 3/10 (1) | 1/2 (1),Bevande | Dessert | Pollame,Aroma | Boss | Cherry Rum | Cherry Sling | Letale,
china,China (8),1,8,8,ingredient,unmatched,,,,,,,,1,1/6 (2) | 1 G (1) | 2/5 (1) | 1/3 (1) | 3 Gocce (1),Bevande,Giulia (3) | Gritti | Liquore Alla Camomilla | Lola (2) | Milano,
ciliegie nere,Ciliegie Nere (8),1,8,8,ingredient,unmatched,,,,,,,,4,500 G (4) | 1000 G (2) | 250 G (1) | 700 G (1),Dessert | Pollame | Salsa,Aceto Di Cherry | Anatra Alle Ciliegie | Ciliegie Al Cioccolato | Clafoutis Alle Ciliegie | Crostata Di Ciliegie (2),
ciliegina verde,Ciliegina Verde (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 (8),Bevande,Creola | Eclisse (3) | Ghirlandina | Lisbona Cobbler | Maristella,
ciliegine rosse al maraschino,Ciliegine Rosse Al Maraschino (8),1,8,8,ingredient,unmatched,,,,,,,,0,Alcune (7) | 2 (1),Bevande,Creazione | Golden Drink | Green Eyes | Maldive | Oscar,
ciliegine sciroppate,Ciliegine Sciroppate (8),1,8,8,ingredient,unmatched,,,,,,,,0,Alcune (5) | 2 (2) | 100 G (1),Bevande | Dessert,Ciambellone Con Frutta Secca | Gelato Con Pompelmo | Hawaii | Raffinato | Shop,
cipolla di tropea,Cipolla Di Tropea (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 (6) | 1/2 (2),Antipasto | Contorno | Primo,Crema Di Fagioli Con Concassé Di Pomodoro E Cipolla Di Tropea | Fagioli Bianchi Con Cipollina | Frittata Di Zucca E Cipolla | Frittata Di Zucca E Cipolla Con Aceto | Orecchiette Con Pancetta Al Vino E Cipolle Di Tropea,Luogo: Toscana.
cipolla tagliata,Cipolla Tagliata (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 (5) | 1/2 (3),Antipasto | Carne | Dessert | Primo,Arrosto Di Manzo Alla Argentina (matambre) | Crostini Con Radicchio Rosso E Formaggio | Filetto A La Carbonade | Khao Phad Sapparod | Riso Fritto Di Phuket,Luogo: Argentina. | Luogo: Thailandia.
cipollina fresca,Cipollina Fresca (8),1,8,8,ingredient,unmatched,,,,,,,,0,1 (5) | 1 Mazzo (1) | 300 G (1),Carne | Contorno | Pesce | Primo,Fagioli In Insalata | Frittata Di Ventresca E Asparagi | Insalata Alla Madrilena | Ostriche Alla Panna | Pasta All'uovo Con Fiori Di Zucca,Luogo: Ciociaria. Luogo: Lazio. | Luogo: Spagna. Luogo: Madrid.
coloranti alimentari,Coloranti Alimentari (8),1,8,8,ingredient,unmatched,,,,,,,,0,,Dessert,Girotondo Di Biscotti | Sandwich Di Marmellata | Sandwich Di Marmellata D'arancia | Sandwich Di Marmellata Di Albicocche | Sandwich Di Marmellata Di Ciliegie,Preparazione: 70 minuti. Cottura: 20 minuti. | Preparazione: 15 Minuti.
confettini colorati,Confettini Colorati (8),1,8,8,ingredient,unmatched,,,,,,,,0,Alcuni (2) | 100 G (1) | 3 Bustine (1),Dessert,Cannariculi | Ciaramicola | Colomb | Pabassinas Romboidali | Palline Colorate (2),Luogo: Calabria. Preparazione: 60 minuti. | Luogo: Ciociaria. Luogo: Lazio.
coriandolo tritato,Coriandolo Tritato (8),1,8,8,ingredient,unmatched,,,,,,,,0,2 Cucchiai (3) | 1 Pizzico (1),Carne | Primo | Salsa,Cinghiale Con Verdure | Hamburger All'orientale | Minestra Di Yogurth (3) | Minestra Di Yogurth Greca | Mojo Di Palma (2),Luogo: Grecia. | Calorie: 165. | Luogo: Brasile.
coste,Coste (8),1,8,8,ingredient,unmatched,,,,,,,,1,12 Foglie (2) | 300 G (2) | 1000 G (1) | 600 G (1) | 800 G (1),Carne | Contorno | Pesce | Pollame | Primo,Coste Fritte | Involtini Di Capesante E Coste | Petti Di Piccione Al Vapore Con Coste | Petto Di Vitello Alle Erbe | Piccoli Nidi Alle Coste,Preparazione: 10 minuti. Cottura: 40 minuti. Calorie: 480. | Luogo: Valtellina.
court bouillon,Court-bouillon (8),1,8,8,ingredient,unmatched,,,,,,,,0,50 Cl (2) | 100 Cl (1),Antipasto | Pesce,Branzino In Gelatina | Cocktail Di Scampi (2) | Dentice In Gelatina | Granceola Mimosa | Granchio In Insalata,Cottura: 45 minuti. Preparazione: 15 minuti. | Cottura: 20 minuti. Preparazione: 10 minuti.
couscous,Couscous (8),1,8,8,ingredient,unmatched,,,,,,,,1,100 G (2) | 80 G (2) | 1 Confezione (1) | 200 G (1) | 50 G (1),Antipasto | Contorno | Pesce | Primo,Baccalà Al Vapore Di Menta E Limone Con Couscous Ai Carciofi | Couscous E Carne In Insalata | Insalata Con Gli Asparagi | Lattughe Farcite E Brasate | Polpettone Di Verdura,Preparazione: 20 minuti. Cottura: 25 minuti. | Preparazione: 30 minuti. Cottura: 60 minuti.
